unique_id,category,variation,filename paste,file,inches,inch_variance,radius_max,servings_min,servings_max,scale_min,scale_max,rotate_min,rotate_max,center_x,center_y,pie_count
4130,topping-meat,bacon,4130-topping-meat-bacon,N,,,,,,,,,,512,512,
4140,topping-meat,venison,4140-topping-meat-venison,N,,,,,,,,,,512,512,
4150,topping-meat,sausage,4150-topping-meat-sausage,N,,,,,,,,,,512,512,
4160,topping-meat,meatballs,4160-topping-meat-meatballs,N,,,,,,,,,,512,512,
4170,topping-meat,dumpling,4170-topping-meat-dumpling,N,,,,,,,,,,512,512,
4180,topping-meat,buffalochicken,4180-topping-meat-buffalochicken,N,,,,,,,,,,512,512,
4190,topping-meat,charsiupork,4190-topping-meat-charsiupork,N,,,,,,,,,,512,512,
4200,topping-meat,cheeseburger,4200-topping-meat-cheeseburger,Y,3.75,,,,,,,,,512,512,
4210,topping-meat,vegansausage,4210-topping-meat-vegansausage,Y,4,,,,,,,,,512,512,
4220,topping-meat,eyeball,4220-topping-meat-eyeball,Y,1.5,,,,,,,,,512,512,
4230,topping-meat,finger,4230-topping-meat-finger,Y,3,,,,,,,,,512,512,
4231,topping-meat,finger,4231-topping-meat-finger,Y,3,,,,,,,,,512,512,
4232,topping-meat,finger,4232-topping-meat-finger,Y,3,,,,,,,,,512,512,
4233,topping-meat,finger,4233-topping-meat-finger,Y,3,,,,,,,,,512,512,
4234,topping-meat,finger,4234-topping-meat-finger,Y,3,,,,,,,,,,,
4235,extra-special,bigtoe,4235-extra-special-bigtoe,Y,3,,,,,,,,,,,
4240,topping-meat,rainbowpepperoni,4240-topping-meat-rainbowpepperoni,Y,1.75,,,,,,,,,,,
4250,topping-meat,kali,4250-topping-meat-kali,Y,1.75,,,,,,,,,,,
4260,topping-meat,seitan,4260-topping-meat-seitan,Y,3,,,,,,,,,,,
4270,topping-meat,escargot,4270-topping-meat-escargot,Y,1.5,,,,,,,,,,,
4271,topping-meat,escargot,4271-topping-meat-escargot,Y,1.5,,,,,,,,,,,
4272,topping-meat,escargot,4272-topping-meat-escargot,Y,1.5,,,,,,,,,,,
4273,topping-meat,escargot,4273-topping-meat-escargot,Y,1.5,,,,,,,,,,,
4274,topping-meat,escargot,4274-topping-meat-escargot,Y,1.5,,,,,,,,,,,
4275,topping-meat,escargot,4275-topping-meat-escargot,Y,1.5,,,,,,,,,,,
4280,topping-meat,roastbeef,4280-topping-meat-roastbeef,Y,3,,,,,,,,,,,
4281,topping-meat,roastbeef,4281-topping-meat-roastbeef,Y,3,,,,,,,,,,,
4282,topping-meat,roastbeef,4282-topping-meat-roastbeef,Y,3,,,,,,,,,,,
4283,topping-meat,roastbeef,4283-topping-meat-roastbeef,Y,3,,,,,,,,,,,
4284,topping-meat,roastbeef,4284-topping-meat-roastbeef,Y,3,,,,,,,,,,,
4285,topping-meat,roastbeef,4285-topping-meat-roastbeef,Y,3,,,,,,,,,,,
4280,topping-meat,,4280-topping-meat-,N,,,,,,,,,,,,
4290,topping-meat,,4290-topping-meat-,N,,,,,,,,,,,,
4300,topping-meat,,4300-topping-meat-,N,,,,,,,,,,,,
4310,topping-meat,froglegs,4310-topping-meat-froglegs,Y,3,,,,,,,,,,,
4311,topping-meat,froglegs,4311-topping-meat-froglegs,Y,3,,,,,,,,,,,
4312,topping-meat,froglegs,4312-topping-meat-froglegs,Y,3,,,,,,,,,,,
4320,topping-meat,,4320-topping-meat-,N,,,,,,,,,,,,
4330,topping-meat,,4330-topping-meat-,N,,,,,,,,,,,,
4340,topping-meat,,4340-topping-meat-,N,,,,,,,,,,,,
4350,topping-meat,,4350-topping-meat-,N,,,,,,,,,,,,
4360,topping-meat,,4360-topping-meat-,N,,,,,,,,,,,,
4370,topping-meat,oxtail,4370-topping-meat-oxtail,Y,3,,,,,,,,,,,
4371,topping-meat,oxtail,4371-topping-meat-oxtail,Y,3,,,,,,,,,,,
4372,topping-meat,oxtail,4372-topping-meat-oxtail,Y,3,,,,,,,,,,,
4380,topping-meat,,4380-topping-meat-,N,,,,,,,,,,,,
5000,topping-fruit,tomato,5000-topping-fruit-tomato,N,,,,,,,,,,,,
5010,topping-fruit,greenpapaya,5010-topping-fruit-greenpapaya,N,,,,,,,,,,,,
5020,topping-fruit,pineapple,5020-topping-fruit-pineapple,N,,,,,,,,,,,,
5030,topping-fruit,olives,5030-topping-fruit-olives,N,,,,,,,,,,,,
5050,topping-fruit,watermelon,5050-topping-fruit-watermelon,Y,3,,,,,,,,,,,
5051,topping-fruit,watermelon,5051-topping-fruit-watermelon,Y,3,,,,,,,,,,,
5052,topping-fruit,watermelon,5052-topping-fruit-watermelon,Y,3,,,,,,,,,,,
5053,topping-fruit,watermelon,5053-topping-fruit-watermelon,Y,3,,,,,,,,,,,
5054,topping-fruit,watermelon,5054-topping-fruit-watermelon,Y,3,,,,,,,,,,,
5060,topping-fruit,kiwi,5060-topping-fruit-kiwi,Y,2,,,,,,,,,,,
5070,topping-fruit,orange,5070-topping-fruit-orange,N,,,,,,,,,,,,
5080,topping-fruit,peach,5080-topping-fruit-peach,Y,4,,,,,,,,,,,
5081,topping-fruit,peach,5081-topping-fruit-peach,Y,2.5,,,,,,,,,,,
5082,topping-fruit,peach,5082-topping-fruit-peach,Y,2.5,,,,,,,,,,,
5083,topping-fruit,peach,5083-topping-fruit-peach,Y,2.5,,,,,,,,,,,
5090,topping-fruit,strawberry,5090-topping-fruit-strawberry,Y,1.5,,,,,,,,,,,
5091,topping-fruit,strawberry,5091-topping-fruit-strawberry,Y,1.5,,,,,,,,,,,
5100,topping-fruit,apple,5100-topping-fruit-apple,Y,2.5,,,,,,,,,,,
5101,topping-fruit,apple,5101-topping-fruit-apple,Y,2.5,,,,,,,,,,,
5102,topping-fruit,apple,5102-topping-fruit-apple,Y,2.5,,,,,,,,,,,
5103,topping-fruit,apple,5103-topping-fruit-apple,Y,2.5,,,,,,,,,,,
5104,topping-fruit,apple,5104-topping-fruit-apple,Y,2.5,,,,,,,,,,,
5105,topping-fruit,apple,5105-topping-fruit-apple,Y,2.5,,,,,,,,,,,
5106,topping-fruit,apple,5106-topping-fruit-apple,Y,2.5,,,,,,,,,,,
5110,topping-fruit,cherry,5110-topping-fruit-cherry,Y,2,,,,,,,,,,,
5111,topping-fruit,cherry,5111-topping-fruit-cherry,Y,2,,,,,,,,,,,
5112,topping-fruit,cherry,5112-topping-fruit-cherry,Y,2,,,,,,,,,,,
5113,topping-fruit,cherry,5113-topping-fruit-cherry,Y,2,,,,,,,,,,,
5114,topping-fruit,cherry,5114-topping-fruit-cherry,Y,2,,,,,,,,,,,
5115,topping-fruit,cherry,5115-topping-fruit-cherry,Y,2,,,,,,,,,,,
5120,topping-fruit,blackberry,5120-topping-fruit-blackberry,Y,1,,,,,,,,,,,
5121,topping-fruit,blackberry,5121-topping-fruit-blackberry,Y,1,,,,,,,,,,,
5122,topping-fruit,blackberry,5122-topping-fruit-blackberry,Y,1,,,,,,,,,,,
5123,topping-fruit,blackberry,5123-topping-fruit-blackberry,Y,1,,,,,,,,,,,
5124,topping-fruit,blackberry,5124-topping-fruit-blackberry,Y,1,,,,,,,,,,,
5125,topping-fruit,blackberry,5125-topping-fruit-blackberry,Y,1,,,,,,,,,,,
5130,topping-fruit,orangeslices,5130-topping-fruit-orangeslices,Y,3,,,,,,,,,,,
5131,topping-fruit,orangeslices,5131-topping-fruit-orangeslices,Y,3,,,,,,,,,,,
5132,topping-fruit,orangeslices,5132-topping-fruit-orangeslices,Y,3,,,,,,,,,,,
5140,topping-fruit,cantalope,5140-topping-fruit-cantalope,Y,6,,,,,,,,,,,
5141,topping-fruit,cantalope,5141-topping-fruit-cantalope,Y,6,,,,,,,,,,,
5142,topping-fruit,cantalope,5142-topping-fruit-cantalope,Y,6,,,,,,,,,,,
5150,topping-fruit,passionfruite,5150-topping-fruit-passionfruite,Y,3,,,,,,,,,,,
5151,topping-fruit,passionfruite,5151-topping-fruit-passionfruite,Y,3,,,,,,,,,,,
5152,topping-fruit,passionfruite,5152-topping-fruit-passionfruite,Y,3,,,,,,,,,,,
5160,topping-fruit,orangepeel,5160-topping-fruit-orangepeel,Y,5,,,,,,,,,,,
5161,topping-fruit,orangepeel,5161-topping-fruit-orangepeel,Y,5,,,,,,,,,,,
5162,topping-fruit,orangepeel,5162-topping-fruit-orangepeel,Y,5,,,,,,,,,,,
5163,topping-fruit,orangepeel,5163-topping-fruit-orangepeel,Y,5,,,,,,,,,,,
5154,topping-fruit,orangepeel,5154-topping-fruit-orangepeel,Y,5,,,,,,,,,,,
5170,topping-fruit,blackolives,5170-topping-fruit-blackolives,Y,,,,,,,,,,,,
5171,topping-fruit,blackolives,5171-topping-fruit-blackolives,Y,,,,,,,,,,,,
5172,topping-fruit,blackolives,5172-topping-fruit-blackolives,Y,,,,,,,,,,,,
5180,topping-fruit,dates,,,,,,,,,,,,,,
5181,topping-fruit,dates,,,,,,,,,,,,,,
5182,topping-fruit,dates,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5200,topping-pepper,chili,5200-topping-pepper-chili,Y,5.5,,,,,,,,,,,
5201,topping-pepper,chili,5201-topping-pepper-chili,Y,5.5,,,,,,,,,,,
5202,topping-pepper,chili,5202-topping-pepper-chili,Y,5.5,,,,,,,,,,,
5203,topping-pepper,chili,5203-topping-pepper-chili,Y,5.5,,,,,,,,,,,
5204,topping-pepper,chili,5204-topping-pepper-chili,Y,5.5,,,,,,,,,,,
5205,topping-pepper,chili,5205-topping-pepper-chili,Y,5.5,,,,,,,,,,,
5206,topping-pepper,chili,5206-topping-pepper-chili,Y,5.5,,,,,,,,,,,
5210,topping-pepper,jalapenopeppers,5210-topping-pepper-jalapenopeppers,Y,3,,,,,,,,,,,
5211,topping-pepper,jalapenopeppers,5211-topping-pepper-jalapenopeppers,Y,3,,,,,,,,,,,
5212,topping-pepper,jalapenopeppers,5212-topping-pepper-jalapenopeppers,Y,3,,,,,,,,,,,
5213,topping-pepper,jalapenopeppers,5213-topping-pepper-jalapenopeppers,Y,3,,,,,,,,,,,
5214,topping-pepper,jalapenopeppers,5214-topping-pepper-jalapenopeppers,Y,3,,,,,,,,,,,
